defined_class	defined_class_label	membrane	membrane_label
http://purl.obolibrary.org/obo/GO_0090498	extrinsic component of Golgi membrane	http://purl.obolibrary.org/obo/GO_0000139	Golgi membrane
http://purl.obolibrary.org/obo/GO_0031244	extrinsic component of cell outer membrane	http://purl.obolibrary.org/obo/GO_0009279	cell outer membrane
http://purl.obolibrary.org/obo/GO_0031234	extrinsic component of cytoplasmic side of plasma membrane	http://purl.obolibrary.org/obo/GO_0009898	cytoplasmic side of plasma membrane
http://purl.obolibrary.org/obo/GO_0098922	extrinsic component of dense core granule membrane	http://purl.obolibrary.org/obo/GO_0032127	dense core granule membrane
http://purl.obolibrary.org/obo/GO_0042406	extrinsic component of endoplasmic reticulum membrane	http://purl.obolibrary.org/obo/GO_0005789	endoplasmic reticulum membrane
http://purl.obolibrary.org/obo/GO_0031313	extrinsic component of endosome membrane	http://purl.obolibrary.org/obo/GO_0010008	endosome membrane
http://purl.obolibrary.org/obo/GO_0031242	extrinsic component of external side of cell outer membrane	http://purl.obolibrary.org/obo/GO_0031240	external side of cell outer membrane
http://purl.obolibrary.org/obo/GO_0036421	extrinsic component of external side of mycolate outer membrane	http://purl.obolibrary.org/obo/GO_0098568	external side of mycolate outer membrane
http://purl.obolibrary.org/obo/GO_0031232	extrinsic component of external side of plasma membrane	http://purl.obolibrary.org/obo/GO_0009897	external side of plasma membrane
http://purl.obolibrary.org/obo/GO_0005780	extrinsic component of intraperoxisomal membrane	http://purl.obolibrary.org/obo/GO_0005778	peroxisomal membrane
http://purl.obolibrary.org/obo/GO_0035450	extrinsic component of lumenal side of plastid thylakoid membrane	http://purl.obolibrary.org/obo/GO_0098570	stromal side of plastid inner membrane
http://purl.obolibrary.org/obo/GO_0099616	extrinsic component of matrix side of mitochondrial inner membrane	http://purl.obolibrary.org/obo/GO_0099617	matrix side of mitochondrial inner membrane
http://purl.obolibrary.org/obo/GO_0031314	extrinsic component of mitochondrial inner membrane	http://purl.obolibrary.org/obo/GO_0005743	mitochondrial inner membrane
http://purl.obolibrary.org/obo/GO_0031315	extrinsic component of mitochondrial outer membrane	http://purl.obolibrary.org/obo/GO_0005741	mitochondrial outer membrane
http://purl.obolibrary.org/obo/GO_0036420	extrinsic component of mycolate outer membrane	http://purl.obolibrary.org/obo/GO_0036407	mycolate outer membrane
http://purl.obolibrary.org/obo/GO_0098674	extrinsic component of neuronal dense core vesicle membrane	http://purl.obolibrary.org/obo/GO_0099012	neuronal dense core vesicle membrane
http://purl.obolibrary.org/obo/GO_0031316	extrinsic component of nuclear outer membrane	http://purl.obolibrary.org/obo/GO_0005640	nuclear outer membrane
http://purl.obolibrary.org/obo/GO_0097629	extrinsic component of omegasome membrane	http://purl.obolibrary.org/obo/GO_1903349	omegasome membrane
http://purl.obolibrary.org/obo/GO_0031312	extrinsic component of organelle membrane	http://purl.obolibrary.org/obo/GO_0031090	organelle membrane
http://purl.obolibrary.org/obo/GO_0031236	extrinsic component of periplasmic side of plasma membrane	http://purl.obolibrary.org/obo/GO_0098567	periplasmic side of plasma membrane
http://purl.obolibrary.org/obo/GO_0097632	extrinsic component of phagophore assembly site membrane	http://purl.obolibrary.org/obo/GO_0034045	phagophore assembly site membrane
http://purl.obolibrary.org/obo/GO_0019897	extrinsic component of plasma membrane	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane
http://purl.obolibrary.org/obo/GO_0035453	extrinsic component of plastid inner membrane	http://purl.obolibrary.org/obo/GO_0009528	plastid inner membrane
http://purl.obolibrary.org/obo/GO_0035452	extrinsic component of plastid membrane	http://purl.obolibrary.org/obo/GO_0042170	plastid membrane
http://purl.obolibrary.org/obo/GO_0035449	extrinsic component of plastid thylakoid membrane	http://purl.obolibrary.org/obo/GO_0055035	plastid thylakoid membrane
http://purl.obolibrary.org/obo/GO_0099147	extrinsic component of postsynaptic density membrane	http://purl.obolibrary.org/obo/GO_0098839	postsynaptic density membrane
http://purl.obolibrary.org/obo/GO_0098998	extrinsic component of postsynaptic early endosome membrane	http://purl.obolibrary.org/obo/GO_0098896	postsynaptic early endosome membrane
http://purl.obolibrary.org/obo/GO_0098893	extrinsic component of postsynaptic endocytic zone	http://purl.obolibrary.org/obo/GO_0098844	postsynaptic endocytic zone membrane
http://purl.obolibrary.org/obo/GO_0098999	extrinsic component of postsynaptic endosome membrane	http://purl.obolibrary.org/obo/GO_0098895	postsynaptic endosome membrane
http://purl.obolibrary.org/obo/GO_0098890	extrinsic component of postsynaptic membrane	http://purl.obolibrary.org/obo/GO_0045211	postsynaptic membrane
http://purl.obolibrary.org/obo/GO_0099005	extrinsic component of postsynaptic recycling endosome membrane	http://purl.obolibrary.org/obo/GO_0098944	postsynaptic recycling endosome membrane
http://purl.obolibrary.org/obo/GO_0098892	extrinsic component of postsynaptic specialization membrane	http://purl.obolibrary.org/obo/GO_0099634	postsynaptic specialization membrane
http://purl.obolibrary.org/obo/GO_0098891	extrinsic component of presynaptic active zone membrane	http://purl.obolibrary.org/obo/GO_0048787	presynaptic active zone membrane
http://purl.obolibrary.org/obo/GO_0098894	extrinsic component of presynaptic endocytic zone membrane	http://purl.obolibrary.org/obo/GO_0098835	presynaptic endocytic zone membrane
http://purl.obolibrary.org/obo/GO_0099007	extrinsic component of presynaptic endosome membrane	http://purl.obolibrary.org/obo/GO_0098954	presynaptic endosome membrane
http://purl.obolibrary.org/obo/GO_0098888	extrinsic component of presynaptic membrane	http://purl.obolibrary.org/obo/GO_0042734	presynaptic membrane
http://purl.obolibrary.org/obo/GO_0035451	extrinsic component of stromal side of plastid thylakoid membrane	http://purl.obolibrary.org/obo/GO_0098572	stromal side of plastid thylakoid membrane
http://purl.obolibrary.org/obo/GO_0099243	extrinsic component of synaptic membrane	http://purl.obolibrary.org/obo/GO_0097060	synaptic membrane
http://purl.obolibrary.org/obo/GO_0098850	extrinsic component of synaptic vesicle membrane	http://purl.obolibrary.org/obo/GO_0030672	synaptic vesicle membrane
http://purl.obolibrary.org/obo/GO_0035448	extrinsic component of thylakoid membrane	http://purl.obolibrary.org/obo/GO_0042651	thylakoid membrane
